RowID,OrderID,OrderDate,ShipDate,ShipDays,CustomerID,ProductKey,GeographyKey,ShipModeKey,Sales
7981,CA-2021-103800,2021-01-03,2021-01-07,4,DP-13000,1079,156,4,16.448
740,CA-2021-112326,2021-01-04,2021-01-08,4,PO-19195,998,20,4,11.784
741,CA-2021-112326,2021-01-04,2021-01-08,4,PO-19195,1399,20,4,272.736
742,CA-2021-112326,2021-01-04,2021-01-08,4,PO-19195,764,20,4,3.54
1760,CA-2021-141817,2021-01-05,2021-01-12,7,MB-18085,490,305,4,19.536
7181,CA-2021-106054,2021-01-06,2021-01-07,1,JO-15145,537,369,2,12.78
5328,CA-2021-130813,2021-01-06,2021-01-08,2,LS-17230,1299,499,3,19.44
7475,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,60,382,4,2573.82
7476,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,784,382,4,609.98
7477,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,623,382,4,5.48
7478,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,1763,382,4,391.98
7479,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,1884,382,4,755.96
7480,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,926,382,4,31.12
7481,CA-2021-167199,2021-01-06,2021-01-10,4,ME-17320,1097,382,4,6.54
7661,CA-2021-105417,2021-01-07,2021-01-12,5,VS-21820,265,157,4,76.728
7662,CA-2021-105417,2021-01-07,2021-01-12,5,VS-21820,657,157,4,10.43
593,CA-2021-135405,2021-01-09,2021-01-13,4,MS-17830,561,160,4,9.344
594,CA-2021-135405,2021-01-09,2021-01-13,4,MS-17830,1575,160,4,31.2
866,CA-2021-149020,2021-01-10,2021-01-15,5,AJ-10780,970,445,4,2.89
867,CA-2021-149020,2021-01-10,2021-01-15,5,AJ-10780,258,445,4,51.94
717,CA-2021-130092,2021-01-11,2021-01-14,3,SV-20365,175,205,2,9.94
2979,CA-2021-109232,2021-01-13,2021-01-16,3,ND-18370,72,417,3,545.94
9629,CA-2021-118192,2021-01-13,2021-01-18,5,MM-17920,1186,292,4,37.408
9630,CA-2021-118192,2021-01-13,2021-01-18,5,MM-17920,691,292,4,3.438
4938,CA-2021-157147,2021-01-13,2021-01-18,5,BD-11605,1430,528,4,1325.85
4939,CA-2021-157147,2021-01-13,2021-01-18,5,BD-11605,30,528,4,333.999
4940,CA-2021-157147,2021-01-13,2021-01-18,5,BD-11605,485,528,4,19.9
764,CA-2021-162775,2021-01-13,2021-01-15,2,CS-12250,901,387,3,11.36
765,CA-2021-162775,2021-01-13,2021-01-15,2,CS-12250,872,387,3,50.94
766,CA-2021-162775,2021-01-13,2021-01-15,2,CS-12250,1596,387,3,646.74
767,CA-2021-162775,2021-01-13,2021-01-15,2,CS-12250,647,387,3,5.64
768,CA-2021-162775,2021-01-13,2021-01-15,2,CS-12250,1361,387,3,572.58
6475,CA-2021-149524,2021-01-14,2021-01-15,1,BS-11590,45,304,2,61.96
1914,CA-2021-103366,2021-01-15,2021-01-17,2,EH-13990,1522,375,2,149.95
971,CA-2021-115791,2021-01-16,2021-01-18,2,DL-13315,162,303,3,127.104
972,CA-2021-115791,2021-01-16,2021-01-18,2,DL-13315,1710,303,3,124.2
